50, 70, 188.47622784760682, 41, 84, 7, 280, 0, 1675815498892, 1675815499935, [50, 5, 6], [0, 1], 379.992394854046
40, 70, 191.48027359038804, 12, 19, 7, 28, 0, 1675815538369, 1675815539412, [50, 5, 6], [-1, 0], 1428.9572655999104
30, 60, 192.12313598110143, 15, 28, 7, 134, 0, 1675815577824, 1675815579318, [40, 5, 6], [-1, -1], 1091.608727165349
30, 60, 191.1132782181997, 13, 22, 7, 35, 0, 1675815602665, 1675815603712, [30, 4, 6], [0, 0], 1291.3059339067547
20, 60, 192.12313598110143, 20, 45, 7, 151, 0, 1675815642476, 1675815643517, [30, 4, 6], [-1, 0], 768.4925439244057
20, 60, 191.29607435937316, 24, 42, 7, 157, 0, 1675815666893, 1675815667962, [20, 4, 6], [0, 0], 693.1017186933809
30, 60, 190.3859188725819, 18, 35, 8, 60, 0, 1675815706738, 1675815707789, [20, 5, 5], [1, 0], 889.6538265073922
30, 50, 175.0737012389714, 18, 34, 7, 137, 0, 1675815746790, 1675815747840, [30, 4, 5], [0, -1], 825.8193454668461
30, 50, 190.84125849612354, 21, 41, 7, 153, 0, 1675815771294, 1675815772346, [30, 4, 5], [0, 0], 763.3650339844942
30, 50, 191.6627176983576, 12, 21, 7, 34, 0, 1675815810768, 1675815811812, [30, 4, 5], [0, -1], 1388.8602731765043
30, 50, 189.57771787960468, 51, 83, 9, 322, 0, 1675815850524, 1675815851586, [30, 4, 5], [0, -1], 330.27476982509523
30, 50, 190.93187514240145, 67, 108, 9, 235, 0, 1675815874991, 1675815876036, [30, 4, 5], [0, 0], 253.89877013617212
20, 50, 174.4737025363405, 92, 166, 12, 384, 0, 1675815914643, 1675815916334, [30, 5, 5], [-1, 0], 163.3648900153001
20, 50, 186.4457582721187, 49, 88, 10, 173, 0, 1675815955339, 1675815956431, [20, 5, 6], [0, -1], 328.24957442274416
20, 60, 191.93857965451056, 21, 43, 7, 146, 0, 1675815994852, 1675815995891, [20, 5, 6], [0, 1], 755.663699427207
30, 70, 191.571056989637, 11, 19, 7, 28, 0, 1675816034334, 1675816035381, [20, 4, 6], [1, 1], 1520.405214203468
